95	546be149.jpg	Astarotte no Omocha!		Astarotte's Toy
96	546be2c6.jpg	Asu no Yoichi!		Samurai Harem
97	546be511.jpg	Asura Cryin'		Asura Cryin'
98	546be66f.jpg	Asura Cryin' 2		Asura Cryin' 2
99	546be865.jpg	Aura: Maryuuinkouga Saigo no Tatakai	Aura: Koga Maryuin’s Last War	Aura: Koga Maryuin’s Last War
100	546d112f.jpg	Avenger		Avenger
101	546d1610.jpg	Pretty Rhythm: Aurora Dream		
102	546d1a0a.jpg	Ayakashi: Japanese Classic Horror		Ayakashi: Samurai Horror Tales
103	546d1bdd.jpg	Ayashi no Ceres		Ceres, Celestial Legend
104	546d1d7d.jpg	Karakuri Zoushi Ayatsuri Sakon		
105	546dda8d.jpg	Baccano!		Baccano!
106	546fe41b.jpg	Baccano! OVA		Baccano! (Specials)
107	546fe5de.jpg	B Gata H Kei	B Gata H Kei	Yamada's First Time: B Gata H Kei
108	546fe789.jpg	Baka to Test to Shoukanjuu: Matsuri		Baka and Test: Summon the Beasts OVA
109	546fe850.jpg	Baka to Test to Shoukanjuu Ni!		Baka and Test: Summon The Beasts Season 2
110	546feaba.jpg	Baka to Test to Shoukanjuu		Baka and Test: Summon the Beasts
111	546fec84.jpg	Bakemonogatari SP		
112	546fee35.jpg	Bakemonogatari	Bakemonogatari	Bakemonogatari
113	546ff0eb.jpg	Bakuman. (2012)		Bakuman Season 3
114	54725aba.jpg	Cosprayers		
115	54725c01.jpg	Bakumatsu Kikansetsu Irohanihoheto		Intrigue in the Bakumatsu: Irohanihoheto
116	54725e32.jpg	Bamboo Blade		Bamboo Blade
117	54726aff.jpg	Bartender		
118	54726bd2.jpg	Baton		
119	54726c40.jpg	Battle Programmer SHIRASE		
120	54726db9.jpg	Ben-To		Ben-To
121	547514d0.jpg	Beck		Beck: Mongolian Chop Squad
122	5475c2fb.jpg	Bihada Ichizoku		
123	54761b71.jpg	Beelzebub		Beelzebub
124	54766030.jpg	Chobits [Deutsch]	Chobits	Chobits
125	547667c2.jpg	Chobits: Chibits - Sumomo & Kotoko Todokeru	Chibits: Sumomo und Kotoko liefern	Chibits: Sumomo and Kotoko Deliver
126	5477adb1.jpg	Binbou Shimai Monogatari		
127	5477b5ab.jpg	Binchou-tan		Bincho-tan
128	5478f5b5.jpg	Birdy the Mighty Decode		Birdy the Mighty: Decode
129	54791032.jpg	Birdy the Mighty Decode 2		Birdy the Mighty: Decode 2
130	5479170a.jpg	Birdy the Mighty		Birdy the Mighty
131	5479187e.jpg	Black Jack Final		
132	54791a04.jpg	Black Rock Shooter		Black Rock Shooter
133	547c725e.jpg	Air Gear [Deutsch]	Air Gear	Air Gear
134	547cefd2.jpg	School Days		School Days
135	548252a9.jpg	Mugen no Juunin		Blade of the Immortal
136	54825617.jpg	Blame!		Blame!
137	54835d50.jpg	No Game No Life [Liz Sub]	No Game No Life	No Game No Life
138	548d5a21.jpg	Blassreiter		Blassreiter
139	548df89e.jpg	Mirai Nikki (2011)	Mirai Nikki	Future Diary
140	54a04959.jpg	Akame ga Kill! [wr]	Akame ga Kill: Schwerter der Assassinen	Akame ga Kill!
141	54931774.jpg	Mahou Sensou		Magical Warfare
142	54936cff.jpg	BlazBlue: Alter Memory		Blazblue: Alter Memory
143	54936d6f.jpg	Blue Drop: Tenshi-tachi no Gikyoku		Blue Drop
144	54936dbb.jpg	Blue Seed 2		Blue Seed Beyond
145	54936e0f.jpg	Blue Seed		Blue Seed
146	54936e7d.jpg	Boku wa Tomodachi ga Sukunai		Haganai: I Don't Have Many Friends
147	54936efb.jpg	Boku wa Tomodachi ga Sukunai Add-on Disc		Haganai: A Round-Robin Story's Ending is Way Extreme
148	54936f61.jpg	Boku wa Tomodachi ga Sukunai: Yaminabe wa Bishoujo ga Zannen na Nioi		
149	54937006.jpg	Boku wa Tomodachi ga Sukunai Next		Haganai Next
150	54937071.jpg	Bokura ga Ita		Bokura ga Ita
151	549370c1.jpg	Bokura no		Bokurano
152	54937100.jpg	Binzume Yousei		Bottle Fairy
153	54937151.jpg	Break Blade		Broken Blade
154	549371b3.jpg	Bounen no Xamdou		Xam'd: Lost Memories
155	5493728d.jpg	Brave10		Brave 10
156	5493733a.jpg	Bubblegum Crisis Tokyo 2040		Bubblegum Crisis Tokyo 2040
157	549373bc.jpg	Bungaku Shoujo: Kyou no Oyatsu - Hatsukoi		
158	549373f8.jpg	Bus Gamer		
159	54937476.jpg	Busou Renkin		Buso Renkin
160	54937b0a.jpg	Boku no Imouto wa 		Boku-no-imoutowa"Osaka-okan"
161	54938b2d.jpg	C: Control - The Money and Soul of Possibility		C: Control - The Money and Soul of Possibility
162	54938c6d.jpg	Akuma no Riddle [WebRip]	Akuma no Riddle	Riddle Story of Devil
