44	7982	545fde68.jpg	Aikatsu!		Aikatsu!	Serie	done	2012	50	Ganbatte, Magical, Idols	TV	0	Anime.Sub/Aikatsu	701
45	7982	5652082e.jpg	Aikatsu! 2		Aikatsu!	Serie	done	2012	51	Ganbatte,Magical, Idols	Tv-Aufzeichnung	0	Anime.Sub/Aikatsu! 2	603
46	110	545fe606.jpg	Air		Air	Serie	done	2005	13	Sentimentales Drama	TV	0	Anime.Sub/Air	469
47	1963	545fe910.jpg	Aishiteruze Baby			Serie	done	2004	26	Alltagsleben, Drama	TV	0	Anime.Sub/Aishiteruze Baby	799
48	8253	545ff0ba.jpg	Aiura		Aiura	Serie	done	2013	12	Komödie	TV	0	Anime.Sub/Aiura	432
49	15	545ff006.jpg	Ajimu Kaigan Monogatari			OVA	done	2001	4	Romanze	DvD-Rip	0	Anime.Sub/Ajimu Kaigan Monogatari	496
50	2930	545ff197.jpg	Akane Maniax			OVA	done	2004	3	Komödie	TV	0	Anime.Sub/Akane Maniax	932
51	5219	545ff1f1.jpg	Akane-iro ni Somaru Saka (OVA)		Akane Iro ni Somaru Saka OVA	OVA	done	2009	1	Komödie	Tv-Aufzeichung	0	Anime.Sub/Akane-Iro ni Somaru Saka - OVA	406
52	7961	545ff3a5.jpg	AKB0048 Next Stage		AKB0048: next stage	Serie	done	2013	13	Musik, Science-Fiction	TV	0	Anime.Sub/AKB0048 Next Stage	441
53	4958	545ff4a1.jpg	Akane-Iro ni Somaru Saka		Akane Iro ni Somaru Saka	Serie	done	2008	12	Romanze, Komödie	Tv-Aufzeichung	0	Anime.Sub/Akane-Iro ni Somaru Saka	784
54	7447	545ff65d.jpg	AKB0048		AKB0048	Serie	done	2012	13	Ganbatte	kp	0	Anime.Sub/AKB0048	730
55	5033	5660d63e.jpg	Akikan!		Akikan!	Serie	done	2008	12	Komödie, Action, Ecchi, Harem, Romanze	Tv-Aufzeichnung	0	Anime.Sub/Akikan	645
56	5157	5463b7aa.jpg	Akiba-chan			Serie	done	2008	10	Komödie	TV	0	Anime.Sub/Akiba Chan	402
57	1206	5463bc76.jpg	Alien 9		Alien Nine	OVA	done	2001	4	Drama	DVD	0	Anime.Sub/Alien 9	413
58	4600	5463bf9a.jpg	Allison to Lillia		Allison & Lillia	Serie	done	2008	26	Abenteuer, Action, Drama, Romanze	TV	0	Anime.Sub/Allison to Lillia	447
59	3530	5463f41d.jpg	Bokusatsu Tenshi Dokuro-chan		Bludgeoning Angel Dokuro-Chan	OVA	done	2005	4	Komödie, Ecchi, Romanze, Splatter	DVD	0	Anime.Sub/Bokusatsu Tenshi Dokuro-chan	610
60	393	5463f624.jpg	Btooom!	Btooom!	Btooom!	Serie	licensed	2012	12	Action	TV	0	Anime sub liz/BTOOOM! liz	33
61	4428	5463f7d9.jpg	Bokusatsu Tenshi Dokuro-chan Second		Bludgeoning Angel Dokuro-chan (2)	OVA	done	2007	2	Ecchi, Fantasy, Komödie, Romanze, Splatter	DVD	0	Anime.Sub/Bokusatsu Tenshi Dokuro-chan 2nd	383
62	6330	5463fb37.jpg	Air Gear: Kuro no Hane to Nemuri no Mori - Break on the Sky			OVA	done	2010	3	Abenteuer, Action, Comedy, Ecchi, Fantasy, Romanze, Schule, Shounen, Sport	DVD	0	Anime.Sub/Air Gear OVA	453
63	2665	5464a287.jpg	Amaenaide yo!! 		Ah! My Buddha	Serie	done	2005	12	Romanze, Komödie, Ecchi, Harem, Magie, Schule	TV	0	Anime.Sub/Amaenaide yo	463
64	3378	5464a5c9.jpg	Amaenaideyo!! Katsu!!		Ah! My Buddha 2	Serie	done	2006	12	Alltagsleben, Ecchi, Harem, Komödie, Romanze, Superkräfte	TV	0	Anime.Sub/Amaenaide yo Katsu	475
65	1913	54652d0f.jpg	Card Captor Sakura	Cardcaptor Sakura	Cardcaptors	Serie	done	1998	70	Abenteuer Action Alltagsleben Fantasy Komödie Magical Girl Romanze Weiblich Bionische Kräfte Dialogwitz Episodisch Erwachsenwerden Gegenwart Magie PSI-Kräfte Schule Slapstick Zeitgenössische Fantasy	DVD	0	Anime Dub/Card Captor Sakura ger	472
66	6265	5465f49a.jpg	Amagami SS		Amagami SS	Serie	done	2010	25	Romanze, Komödie, Harem, Ecchi, dating	Tv-Aufzeichung	0	Anime.Sub/Amagami SS	892
67	7242	546749a1.jpg	Amagami SS+ Plus		Amagami SS+	Serie	done	2012	13	Romanze	kp	0	Anime.Sub/Amagami SS plus	540
68	4585	54674b3e.jpg	Amatsuki			Serie	done	2008	13	Abenteuer	DVD-rip	0	Anime.Sub/Amatsuki	422
69	7989	5668b814.jpg	Amnesia		Amnesia	Serie	done	2013	12	Action, Drama, Romanze	Tv-Aufzeichnung	0	Anime.Sub/Amnesia	503
70	3870	54674e74.jpg	Ane Haramix			OVA	licensed	2006	4	Hentai	kp	0	Anime.Sub/Ane Haramix	216
71	6726	54674f55.jpg	Ano Hi Mita Hana no Namae o Bokutachi wa Mada Shiranai [Liz Sub]	AnoHana: Die Blume, die wir an jenem Tag sahen	AnoHana: The Flower We Saw That Day	Serie	done	2011	11	Drama	Tv-Aufzeichung	0	Anime.Sub/Ano Hi Mita Hana no Namae o Bokutachi wa Mada Shiranai	316
72	7267	546750a6.jpg	Another: The Other - Inga	Another: Die Andere		Serie	licensed	2012	1	Drama, Horror	DVD-rip	0	Anime.Sub/Another OVA	231
